student_id,subject,score,lesson,iq_level,study_hours_per_week,attendance_rate,student_type
STU0001,Sinhala,88.5,Sinhala_General,98.0,13.9,74.5,science_oriented
STU0001,Mathematics,80.68,Mathematics_General,98.0,13.9,74.5,science_oriented
STU0001,Science,94.71,Science_General,98.0,13.9,74.5,science_oriented
STU0001,English,78.56,English_General,98.0,13.9,74.5,science_oriented
STU0001,History,89.49,History_General,98.0,13.9,74.5,science_oriented
STU0001,Buddhism,93.55,Buddhism_General,98.0,13.9,74.5,science_oriented
STU0001,Geography,82.22,Geography_General,98.0,13.9,74.5,science_oriented
STU0001,ICT,89.5,ICT_General,98.0,13.9,74.5,science_oriented
STU0001,Sinhala,89.99,Sinhala_General,98.0,13.9,77.27,science_oriented
STU0001,Mathematics,82.2,Mathematics_General,98.0,13.9,77.27,science_oriented
STU0001,Science,96.06,Science_General,98.0,13.9,77.27,science_oriented
STU0001,English,80.79,English_General,98.0,13.9,77.27,science_oriented
STU0001,History,90.15,History_General,98.0,13.9,77.27,science_oriented
STU0001,Buddhism,94.27,Buddhism_General,98.0,13.9,77.27,science_oriented
STU0001,Geography,87.15,Geography_General,98.0,13.9,77.27,science_oriented
STU0001,ICT,89.63,ICT_General,98.0,13.9,77.27,science_oriented
STU0001,Sinhala,91.87,Sinhala_General,98.0,13.9,75.65,science_oriented
STU0001,Mathematics,85.57,Mathematics_General,98.0,13.9,75.65,science_oriented
STU0001,Science,96.33,Science_General,98.0,13.9,75.65,science_oriented
STU0001,English,82.92,English_General,98.0,13.9,75.65,science_oriented
STU0001,History,92.98,History_General,98.0,13.9,75.65,science_oriented
STU0001,Buddhism,96.09,Buddhism_General,98.0,13.9,75.65,science_oriented
STU0001,Geography,85.92,Geography_General,98.0,13.9,75.65,science_oriented
STU0001,ICT,92.0,ICT_General,98.0,13.9,75.65,science_oriented
STU0002,Sinhala,68.53,Sinhala_General,96.0,11.9,78.5,science_oriented
STU0002,Mathematics,67.14,Mathematics_General,96.0,11.9,78.5,science_oriented
STU0002,Science,72.11,Science_General,96.0,11.9,78.5,science_oriented
STU0002,English,58.75,English_General,96.0,11.9,78.5,science_oriented
STU0002,History,59.71,History_General,96.0,11.9,78.5,science_oriented
STU0002,Buddhism,69.21,Buddhism_General,96.0,11.9,78.5,science_oriented
STU0002,Geography,69.93,Geography_General,96.0,11.9,78.5,science_oriented
STU0002,ICT,92.29,ICT_General,96.0,11.9,78.5,science_oriented
STU0002,Sinhala,71.85,Sinhala_General,96.0,11.9,75.25,science_oriented
STU0002,Mathematics,68.08,Mathematics_General,96.0,11.9,75.25,science_oriented
STU0002,Science,73.55,Science_General,96.0,11.9,75.25,science_oriented
STU0002,English,58.48,English_General,96.0,11.9,75.25,science_oriented
STU0002,History,63.08,History_General,96.0,11.9,75.25,science_oriented
STU0002,Buddhism,70.3,Buddhism_General,96.0,11.9,75.25,science_oriented
STU0002,Geography,72.25,Geography_General,96.0,11.9,75.25,science_oriented
STU0002,ICT,92.27,ICT_General,96.0,11.9,75.25,science_oriented
STU0002,Sinhala,73.7,Sinhala_General,96.0,11.9,81.35,science_oriented
STU0002,Mathematics,70.63,Mathematics_General,96.0,11.9,81.35,science_oriented
STU0002,Science,74.9,Science_General,96.0,11.9,81.35,science_oriented
STU0002,English,59.25,English_General,96.0,11.9,81.35,science_oriented
STU0002,History,64.63,History_General,96.0,11.9,81.35,science_oriented
STU0002,Buddhism,71.36,Buddhism_General,96.0,11.9,81.35,science_oriented
STU0002,Geography,71.44,Geography_General,96.0,11.9,81.35,science_oriented
STU0002,ICT,94.79,ICT_General,96.0,11.9,81.35,science_oriented
STU0003,Sinhala,88.06,Sinhala_General,88.0,13.6,79.0,language_oriented
STU0003,Mathematics,66.11,Mathematics_General,88.0,13.6,79.0,language_oriented
STU0003,Science,69.81,Science_General,88.0,13.6,79.0,language_oriented
STU0003,English,79.61,English_General,88.0,13.6,79.0,language_oriented
STU0003,History,85.85,History_General,88.0,13.6,79.0,language_oriented
STU0003,Buddhism,97.04,Buddhism_General,88.0,13.6,79.0,language_oriented
STU0003,Geography,53.31,Geography_General,88.0,13.6,79.0,language_oriented
STU0003,ICT,66.46,ICT_General,88.0,13.6,79.0,language_oriented
STU0003,Sinhala,91.99,Sinhala_General,88.0,13.6,78.79,language_oriented
STU0003,Mathematics,68.45,Mathematics_General,88.0,13.6,78.79,language_oriented
STU0003,Science,73.43,Science_General,88.0,13.6,78.79,language_oriented
STU0003,English,84.25,English_General,88.0,13.6,78.79,language_oriented
STU0003,History,87.05,History_General,88.0,13.6,78.79,language_oriented
STU0003,Buddhism,98.13,Buddhism_General,88.0,13.6,78.79,language_oriented
STU0003,Geography,56.71,Geography_General,88.0,13.6,78.79,language_oriented
STU0003,ICT,68.4,ICT_General,88.0,13.6,78.79,language_oriented
STU0003,Sinhala,92.85,Sinhala_General,88.0,13.6,77.2,language_oriented
STU0003,Mathematics,70.97,Mathematics_General,88.0,13.6,77.2,language_oriented
STU0003,Science,76.39,Science_General,88.0,13.6,77.2,language_oriented
STU0003,English,83.71,English_General,88.0,13.6,77.2,language_oriented
STU0003,History,89.75,History_General,88.0,13.6,77.2,language_oriented
